_RAJ2000,_DEJ2000,cl,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
208.50234,14.660647,6,23.632,1.022,23.428,0.333,21.393,0.09,20.505,0.082,20.186,0.195
208.507231,14.671441,6,24.664,1.343,23.378,0.282,22.345,0.188,21.917,0.265,21.174,0.396
208.50802,14.679198,3,23.167,1.798,22.793,0.51,21.072,0.17,20.25,0.156,21.411,1.512
208.512252,14.663825,6,24.96,1.357,23.342,0.296,22.077,0.159,21.857,0.265,21.75,0.682
208.516392,14.673724,6,25.835,0.827,23.125,0.248,22.077,0.161,20.685,0.094,19.805,0.134
208.481015,14.673303,6,27.439,0.941,27.512,0.804,21.523,0.433,19.979,0.206,20.487,1.167
208.484529,14.674431,3,24.039,1.194,24.724,0.671,23.23,0.4,21.428,0.171,20.999,0.338
208.488093,14.677391,6,18.895,0.021,17.959,0.006,17.702,0.006,17.596,0.007,17.532,0.016
208.504605,14.683802,3,20.24,0.091,18.876,0.013,18.162,0.01,17.76,0.011,17.471,0.029
208.505186,14.681436,6,22,0.186,21.206,0.039,20.915,0.048,20.683,0.059,20.904,0.23
208.503988,14.664528,6,21.877,0.169,19.231,0.011,17.83,0.006,16.977,0.005,16.514,0.009
208.502291,14.663471,3,24.471,0.932,24.631,0.521,22.445,0.179,22.208,0.222,22.154,0.558
208.484587,14.674397,3,25.267,0.784,23.584,0.269,22.547,0.195,21.518,0.122,20.641,0.182
208.482896,14.673534,6,23.446,0.64,25.396,0.607,23.01,0.311,22.007,0.204,21.746,0.487
208.487448,14.66476,3,21.477,0.216,20.086,0.028,19.207,0.02,18.831,0.022,18.618,0.061
208.485708,14.665647,3,21.531,0.235,20.342,0.035,19.52,0.026,19.141,0.03,18.902,0.086
208.484375,14.667602,6,24.251,0.894,24.048,0.382,22.665,0.215,22.612,0.313,23.037,0.653
208.491871,14.670343,6,21.993,0.203,25.016,0.647,24.118,0.703,25.349,0.615,23.085,0.733
208.483356,14.670205,3,22.754,0.397,22.779,0.165,22.195,0.164,22.275,0.273,22.354,0.725
208.487613,14.674575,3,22.714,0.576,22.262,0.158,21.101,0.091,20.537,0.088,20.554,0.302
208.491156,14.677252,3,22.325,0.368,20.887,0.044,19.702,0.025,19.139,0.024,18.784,0.057
208.494285,14.680272,6,24.808,0.949,23.182,0.198,23.296,0.363,23.78,0.702,23.114,0.642
208.491773,14.661155,3,22.666,0.55,22.066,0.135,21.003,0.084,20.379,0.077,20.48,0.296
208.495976,14.686347,6,23.181,0.51,22.102,0.084,20.705,0.042,19.309,0.02,18.59,0.035
208.495245,14.662126,3,25.151,1.197,22.869,0.218,21.612,0.118,21.205,0.131,21.686,0.625
208.498301,14.671132,3,24.512,1.354,21.918,0.095,20.465,0.043,19.954,0.043,19.674,0.116
208.500831,14.679693,3,22.77,0.55,22.106,0.124,21.538,0.123,21.192,0.141,21.107,0.434
208.498647,14.651779,3,24.84,1.658,22.115,0.14,21.462,0.125,20.962,0.129,20.682,0.35
208.501806,14.65814,6,24.934,0.998,22.946,0.177,21.638,0.096,20.514,0.056,19.763,0.095
208.50652,14.669059,3,23.767,0.962,22.699,0.175,22.311,0.205,21.84,0.211,21.109,0.369
208.50944,14.677455,3,22.568,0.779,21.482,0.12,20.77,0.102,20.423,0.119,20.492,0.44
208.510462,14.673374,3,25.101,1.027,22.468,0.127,21.634,0.102,20.999,0.09,20.974,0.282
208.51217,14.663642,3,24.189,1.258,22.775,0.201,21.887,0.149,21.543,0.175,22.237,0.888
208.494162,14.658376,6,22.915,0.379,23.452,0.24,21.861,0.106,20.403,0.046,19.796,0.089
208.49673,14.657395,3,22.984,0.532,23.637,0.371,22.005,0.155,22.115,0.266,22.124,0.724
208.502343,14.660632,3,25.105,1.101,23,0.217,21.177,0.072,20.525,0.064,20.033,0.14
208.507946,14.679192,3,24.529,1.39,23.038,0.257,21.802,0.143,21.495,0.179,22.714,1.013
208.507281,14.671449,6,26.289,0.444,23.283,0.251,21.792,0.115,21.321,0.118,20.885,0.26
208.516352,14.673726,6,23.003,0.488,23.266,0.252,21.801,0.118,20.513,0.06,19.818,0.107
208.481106,14.673413,6,25.634,0.66,23.913,0.354,23.548,0.452,21.41,0.113,20.577,0.177
208.493805,14.671147,6,22.614,0.307,23.754,0.309,23.016,0.29,22.307,0.243,21.937,0.497
208.486966,14.661129,3,22.893,0.528,23.155,0.273,24.781,1.052,21.816,0.227,21.295,0.458
208.494006,14.668653,3,23.391,0.785,23.993,0.531,22.905,0.363,21.649,0.19,22.554,0.964
208.4581,14.665399,3,22.555,0.808,20.335,0.044,19.304,0.027,18.897,0.035,18.713,0.103
208.461677,14.667188,3,21.276,0.22,19.61,0.021,18.869,0.016,18.505,0.021,18.253,0.059
208.467328,14.67384,3,24.926,1.362,22.779,0.18,21.392,0.085,20.841,0.104,20.202,0.18
208.455433,14.670468,3,26.485,0.56,22.996,0.251,21.949,0.158,21.114,0.149,21.164,0.485
208.462613,14.678133,3,23.258,0.75,23.99,0.477,22.367,0.199,21.03,0.122,20.499,0.23
208.457542,14.684563,6,23.026,0.631,24.397,0.618,22.957,0.335,21.563,0.2,20.735,0.287
208.46166,14.667156,3,21.067,0.156,19.668,0.02,18.925,0.016,18.534,0.017,18.284,0.047
208.458108,14.665378,3,21.101,0.209,20.062,0.035,19.202,0.026,18.901,0.031,18.637,0.082
208.455377,14.670321,3,23.988,1.203,23.783,0.475,21.594,0.118,20.961,0.107,20.634,0.273
208.457656,14.684616,6,23.994,0.897,24.094,0.43,22.491,0.196,21.447,0.121,20.934,0.249
208.462676,14.678034,3,26.129,0.576,23.43,0.312,22.107,0.167,20.894,0.089,20.408,0.191
208.460089,14.661564,3,23.671,1.029,24.127,0.606,22.842,0.356,21.839,0.233,22.543,0.982
208.467299,14.673832,6,25.482,0.891,22.633,0.154,21.244,0.076,20.774,0.078,20.522,0.205
208.482657,14.685542,6,21.539,0.168,19.293,0.012,18.366,0.008,17.992,0.01,17.789,0.023
208.46773,14.678699,6,22.514,0.409,22.424,0.133,21.877,0.13,22.411,0.424,20.911,0.338
208.469667,14.695926,6,24.77,1.524,22.641,0.176,22.264,0.201,22.32,0.425,22.661,1.1
208.470902,14.702136,3,23.412,0.87,22.303,0.124,21.215,0.076,20.914,0.116,20.571,0.263
208.475052,14.681155,3,20.733,0.203,20.381,0.057,19.57,0.043,19.101,0.053,19.153,0.195
208.477815,14.694279,3,26.773,0.544,21.869,0.122,20.7,0.067,20.212,0.084,20.432,0.349
208.484084,14.701058,6,25.87,0.869,22.294,0.128,21.888,0.143,21.934,0.3,21.298,0.511
208.485234,14.694182,3,23.04,1.114,20.764,0.059,19.953,0.044,19.657,0.063,19.246,0.156
208.482944,14.681851,3,21.754,0.319,21.022,0.063,20.532,0.063,20.35,0.104,20.466,0.381
208.484923,14.680107,6,24.401,1.424,22.576,0.155,22.11,0.164,21.903,0.276,21.978,0.784
208.491699,14.686503,3,21.73,0.275,21.926,0.122,20.573,0.058,19.969,0.066,19.746,0.178
208.472611,14.700467,3,24.395,1.328,23.172,0.238,22.044,0.145,21.05,0.122,20.384,0.2
